城市,省份,板块,维度,状态,条件说明,来源名称/链接,来源日期
北京,北京市,提取,首付直付,支持,购买本市新建住房且已签购房合同的，可凭网签合同编号提取公积金支付首付款；据媒体披露，中心于3个工作日内将资金直接划转至预售资金监管账户。,,
北京,北京市,提取,代际互助,有条件支持,仅限老旧小区综合整治（危旧楼房改建、增设电梯等楼本体改造）分摊改造成本的情形，产权人或公房承租人的父母、子女可凭亲属关系材料提取；普通购房、租房提取仍限于本人及配偶 老旧小区改造中房屋产权人或公房承租人的配偶、父母、子女可就分摊的改造成本提取；购买自住住房、租房等常规提取仅限本人及配偶，父母子女账户不可互用互借。,,
北京,北京市,提取,物业费提取,未确认,北京2026年8月7日房地产新政仅落地装修提取，未同步推出物业费提取。截至查证日，北京住房公积金网提取事项清单中无“支付物业费”一项，本地尚未出台实施细则，暂不能办理；需待国家条例2026年9月20日施行后北京配套细则落地。,,
北京,北京市,提取,住房装修提取,支持,本市行政区域内自住住房的产权人及其配偶，对自住住房进行装修装饰可申请提取：按装修装饰增值税发票金额的50%计算提取额度，每套房屋最高不超过25万元；同一产权人就同一住房再次申请装修提取，距上次应满10年。发票须由具备建筑装修装饰工程专业承包资质的企业开具，企业名单由市住房城乡建设委提供、动态更新。,,
北京,北京市,提取,按月冲还商贷,支持,北京市住房公积金支持“约定提取”偿还购房贷款本息（含商贷），可选按月周期。注：用户提供来源链接标题为“租房提取住房公积金”，与商贷月冲无直接关联，建议补充正确来源。,,
北京,北京市,缴存-灵活就业,不支持,,北京住房公积金管理中心 政民互动回复（北京政府门户网）,https://www.beijing.gov.cn/hudong/hdjl/com.web.consult.consultDetail.flow?originalId=AH24120901040,2024-12
北京,北京市,缴存-缓缴,支持,适用于生产经营困难的单位（企业）,北京住房公积金管理中心《关于2026住房公积金年度缴存有关问题的通知》政策解读,https://gjj.beijing.gov.cn/web/zwgk61/2024zcjd/744103386/index.html,2026-08-24
上海,上海市,贷款,单双职工额度差异,支持,首套单缴存最高120万，双缴存最高240万（含缴纳补充公积金）,https://www.shanghai.gov.cn/xbhygq/20260228/87e93e4c373c4bfe81af5557a77d2e70.html,政府网站
上海,上海市,贷款,首套二套额度差异,支持,首套与二套最高贷款额度不同,https://www.shanghai.gov.cn/xbhygq/20260228/87e93e4c373c4bfe81af5557a77d2e70.html,政府网站
上海,上海市,贷款,绿色建筑上浮,支持,购买绿色建筑贷款额度上浮15%,https://www.shanghai.gov.cn/xbhygq/20260228/87e93e4c373c4bfe81af5557a77d2e70.html,政府网站
上海,上海市,贷款,二孩家庭上浮,支持,多子女家庭（二孩及以上）上浮20%,https://www.shanghai.gov.cn/xbhygq/20260228/87e93e4c373c4bfe81af5557a77d2e70.html,政府网站
上海,上海市,贷款,三孩家庭上浮,支持,三孩属多子女家庭，按上浮20%执行,https://www.shanghai.gov.cn/xbhygq/20260228/87e93e4c373c4bfe81af5557a77d2e70.html,政府网站
上海,上海市,贷款,人才青年上浮,有条件支持,仅上海长宁区区级政策，青年人及人才家庭贷款额度上浮30%，须核实是否为全市统一口径,https://www.shcn.gov.cn/col5943/20260601/1310246.html,政府网站
上海,上海市,贷款,家庭共享额度代际互助,支持,2026年7月1日起实施家庭代际互助,https://www.shcn.gov.cn/col5943/20260706/1313472.html,政府网站
上海,上海市,贷款,商转公,支持,2026年7月1日起实施,https://www.shcn.gov.cn/col5943/20260706/1313472.html,政府网站
上海,上海市,贷款,最长贷龄30年,支持,,https://search.sh.gov.cn/detail?token=Dm%2BCBkcpNFX2cQVmJ%2F%2B9pJpiMpUCHj5OIzX0yrwTBbEVGbW8vc4b9Nh70Ze1ivTqeUJwT8FfLdYblzw0kgsVWpewvL%2BcXqXO2emyLEly%2F661F2nAt7ytPk6WEHG5pP5CMtxJeDdZXwCj%2BoPuWxfvxYLa0mcIXWWDS7k%2BSRlrBUK%2F%2B7eNJeehNd%2FbMtSufrkcQcmK067YKDZ0i7TvokyGY3KRzNfcVAvHSCxvbmhLeTUnq5Tvf%2BAOJ67TPMV2YNh3WHSykHVLMoMFOnDoC%2FHz2UTbIqLfKPw5nY5z0BF6n9QWjFM3%2FX9jJOy3b04ImNf6F4xKoEqaQFl9vTUakqruP780v9YBWgYxXLXpc6k5RpSY%2FrfigDzOrbJGcEfxvaqxS1jw3zm6%2B6XzxGKd1YR9FMyX4RRVmA0f5wwQxrwnwMaI%2FHfZ2qAVYCGuxbjeUwrD3wWLNcsrhd9pTOfoZt8aMZZzKY7sOXgCRPCxjLo5rt61GyabVepxdIAuaSzBZHUjiUNEdvHB6htBoaIdIXa6JA%3D%3D,政府网站
上海,上海市,提取,购房一次性提取,支持,原为不动产权证发证之日起5年内可提取一次，总额不超发证当月账户余额且不超购房款；2026年8月21日起放宽为5年内每年提取一次。,,
上海,上海市,提取,租房提取限额,支持,承租本市市场租赁住房的，每户家庭月提取限额4000元（2024年11月1日起由3000元提高）；公租房、保租房可按当月实际房租支出提取。,,
上海,上海市,提取,多孩租房上浮,支持,符合国家生育政策、至少一个未成年子女且该子女与申请人或配偶在本市共同居住满半年的二孩及以上家庭，办理租赁合同网签备案后可按实际房租支出提取，不受月提取限额约束。,,
上海,上海市,提取,加装电梯提取,支持,既有多层住宅加装电梯可自项目正式施工之日起5年内提取，可一次或多次提取，总额不超过扣除政府补贴后业主分摊的电梯建设费用。,,
上海,上海市,提取,车位购置提取,有条件支持,限与本市自住住房配套使用的产权车位（库）、储藏室，不动产权证书发证日期不早于2026年8月21日，每套住房最多支持一处车位、一处储藏室，仅购部分产权的不能提取 2026年8月21日起，购买本市住房缴纳的契税及配套产权车位（库）、储藏室支出纳入住房消费支出总额，购房人可提取本人及配偶公积金。,,
上海,上海市,提取,大病救助提取,有条件支持,须先认定为家庭生活困难，重大疾病仅作为困难认定材料之一，且提取用途限于支付房租、物业服务费、售后公房物业维修费等住房消费费用 本人、配偶或其父母、子女患重大疾病致家庭生活困难的，可提取公积金支付房租、物业费等住房消费费用，每户家庭可提取一次，总额不超过住房消费付款凭证金额。,,
上海,上海市,提取,既提又贷,支持,2025年8月沪六条起支持提取公积金支付新建预售商品住房首付款，2026年8月21日起扩至现房；按先提取、后贷款办理，首付金额仍计入贷款额度。,,
上海,上海市,提取,首付直付,支持,审核通过后提取资金一次性从申请人账户直接划转：买预售商品住房的转入开发企业预售资金监管账户，买现房的转入其在中心报备的银行账户。,,
上海,上海市,提取,代际互助,有条件支持,限于提取还贷（月冲、年冲）与既有多层住宅加装电梯两类情形可动用父母、子女住房公积金账户；购买自住住房、租房、物业费提取仅限本人及配偶 提取还贷冲还人可为借款人配偶、父母、子女（共有产权保障房贷款还含兄弟姐妹）；加装电梯时本人及配偶余额不足可提取父母、子女余额。,,
上海,上海市,提取,按月冲还商贷,支持,《上海市提取住房公积金归还个人住房贷款实施细则》明确提取还贷适用于商业性个人购房贷款，方式含“逐月还款法（月冲）”，签订委托书后按月从公积金账户划转偿还商贷。,,
上海,上海市,提取,物业费提取,有条件支持,仅限低收入经济困难职工家庭：购买并自住本市共有产权保障房，或居住本市自有产权住房且月工资收入不高于当年度共有产权保障房家庭(3人及以上)人均月可支配收入准入标准，且累计缴存满6个月。按季度申请提取，额度不超过当月实际支付的物业服务费，自有产权住房另受当年度月提取限额约束。家庭生活困难(低保、大病等)也可提取支付物业费，每户限一次。 仅限低收入经济困难职工家庭：购买并自住本市共有产权保障房，或居住本市自有产权住房且月工资收入不高于当年度共有产权保障房家庭(3人及以上)人均月可支配收入准入标准，且累计缴存满6个月。按季度申请提取，额度不超过当月实际支付的物业服务费，自有产权住房另受当年度月提取限额约束。家庭生活困难(低保、大病等)也可提取支付物业费，每户限一次。,,
上海,上海市,提取,住房装修提取,不支持,不允许。现行《上海市住房公积金提取管理办法》第七条列举的13项提取情形中，住房消费类只含“建造、翻建、大修本市拥有所有权自住住房”，不含装修；市公积金中心在人大建议答复中明确“提取住房公积金用于支付房屋装修费用无上位法依据”。2026年8月21日施行的沪建房管联〔2026〕359号仅将购房契税、配套产权车位及储藏室纳入提取，未放开装修。,,
上海,上海市,缴存-灵活就业,支持,,上海市住房公积金管理委员会《上海市灵活就业人员自愿缴存、提取和使用住房公积金实施办法》（沪公积金管委会〔2025〕1号）,https://www.shzfgjj.cn/html/zyxw/227831.html,2025-04（2025-06-01施行）
上海,上海市,缴存-缓缴,支持,适用于濒临破产、停产、连续经营亏损等经营困难企业,上海市公积金管理中心《上海市降低住房公积金缴存比例或缓缴住房公积金操作细则》（沪公积金〔2018〕87号）及《上海市住房公积金缴存管理办法》（沪公积金管委会〔2023〕3号）,https://www.shzfgjj.cn/html/newxxgk/ywzn/jc/jc/209052.html,2018-08-20（操作细则）；办法2023年
深圳,广东省,贷款,单双职工额度差异,支持,,https://www.sz.gov.cn/hdjlpt/detail?pid=2916650&via=pc,政府网站
深圳,广东省,贷款,首套二套额度差异,支持,,https://www.sz.gov.cn/hdjlpt/detail?pid=2916650&via=pc,政府网站
深圳,广东省,贷款,绿色建筑上浮,支持,,https://www.sz.gov.cn/hdjlpt/detail?pid=2916650&via=pc,政府网站
深圳,广东省,贷款,二孩家庭上浮,支持,,https://www.sz.gov.cn/hdjlpt/detail?pid=2916650&via=pc,政府网站
深圳,广东省,贷款,三孩家庭上浮,支持,,https://www.sz.gov.cn/hdjlpt/detail?pid=2916650&via=pc,政府网站
深圳,广东省,贷款,人才青年上浮,支持,新市民及青年人贷款额度按账户余额16倍计算（原14倍），初婚初育家庭可上浮50%,https://news.cnr.cn/native/gd/kx/20250317/t20250317_527103415.shtml,官媒
深圳,广东省,贷款,家庭共享额度代际互助,支持,允许父母与子女共同申请公积金贷款（代际互助）,https://zjj.sz.gov.cn/xxgk/ztzl/gjjdk,政府网站
深圳,广东省,贷款,商转公,支持,,https://www.gdzwfw.gov.cn/portal/guide/11440300693981103B344201404500401,政府网站
深圳,广东省,贷款,最长贷龄30年,支持,贷款期限最长30年，且不超过退休后5年,https://zjj.sz.gov.cn/gkmlpt/content/10/10501/mpost_10501001.html,政府网站
深圳,广东省,提取,购房一次性提取,支持,购买首套住房可提取额不超过账户余额且不超购房总价款，首套可一次性提足余额；二套及以上不超账户余额60%；第三套及以上不予提取，每套仅能提取一次。,,
深圳,广东省,提取,租房提取限额,有条件支持,无房职工按申请当月应缴存额比例提取；办理房屋租赁合同备案的、承租公租房或保障性租赁住房的，可选择按实际月租金提取。 本市无房职工每月可提取额不超申请当月应缴存额的65%；2025年11月1日至2027年10月31日阶段性提高至80%，未提取月份可累计。,,
深圳,广东省,提取,多孩租房上浮,支持,有两个及以上子女的多子女家庭，职工及配偶、子女在本市无房的，每月最高可按申请当月应缴存额的100%提取；办理租赁备案的可按实际月租金提取。,,
深圳,广东省,提取,加装电梯提取,支持,出资本市既有住宅加装电梯或更换老旧电梯的，产权人及其配偶、父母（含配偶父母）、子女可提取；竣工验收后五年内每年提取一次，累计不超实际出资金额。,,
深圳,广东省,提取,车位购置提取,不支持,深圳现行提取情形为购房、付房租、还贷、老旧小区更新改造、其他住房消费五类及九类其他情形，均不含购买车位（库）；办法中商品住房定义亦不涵盖车位。,,
深圳,广东省,提取,大病救助提取,支持,职工或家庭成员患重大疾病可提取，用于支付当期医院相关治疗费用中的自费部分；重大疾病含恶性肿瘤、慢性肾衰竭、重大器官移植手术等9类，凭证开具须在两年内。,,
深圳,广东省,提取,既提又贷,支持,为筹集首付款提取的公积金可计入账户余额，用于计算本套住房普通公积金贷款（不含商转公）可贷额度，如余额10万元按16倍最高可贷160万元。,,
深圳,广东省,提取,首付直付,支持,已签订认购协议书或购房合同且尚未支付或未足额支付首付款的，可申请提取一次用于支付首付；首套不超账户余额，二套不超账户余额60%，转入约定银行账户。,,
深圳,广东省,提取,代际互助,有条件支持,父母、子女须登记为该住房共同权利人（共同购房人）方可就该房各自提取；老旧小区改造、加装电梯可由产权人的父母、子女提取；仅凭亲属关系而本人非权利人的不能提取。 购房提取的房产有两个及以上权利人时，权利人关系须为配偶、父母、子女，否则不予受理；老旧小区改造、加装电梯可由产权人的父母、子女提取。,,
深圳,广东省,提取,按月冲还商贷,有条件支持,仅限本市与公积金中心联网合作银行（如招商、建设、平安、中信等）发放的纯商业住房贷款可线上按月委提；组合贷款、商转公、异地购房商贷须预约柜面办理。 签订《按月还贷委托提取协议》后，每月自动将核定额度转入职工公积金联名卡账户用于偿还房贷；每月提取一次，额度不超过月实际还贷额。,,
深圳,广东省,提取,物业费提取,有条件支持,归入“其他住房消费”提取。职工或家庭成员在本市拥有住房，且不符合购房提取、偿还购房贷款本息提取等条件的，可就支付本市住房物业服务费、日常收取的物业专项维修资金申请提取；每月可申请提取一次，每月可提取额不超过申请当月应缴存额的40%，当年度未提取的可在以后年度累计提取。申请时提交不动产权属证书。 归入“其他住房消费”提取。职工或家庭成员在本市拥有住房，且不符合购房提取、偿还购房贷款本息提取等条件的，可就支付本市住房物业服务费、日常收取的物业专项维修资金申请提取；每月可申请提取一次，每月可提取额不超过申请当月应缴存额的40%，当年度未提取的可在以后年度累计提取。申请时提交不动产权属证书。,,
深圳,广东省,提取,住房装修提取,不支持,不允许。深圳市住建局2026年4月24日官方答复明确，《深圳市住房公积金提取管理规定》第五条列举的住房消费情形为购买住房、支付房租、偿还购买住房的贷款本息、出资更新改造本市老旧小区住房、其他住房消费五项，“房屋装修不属于上述住房消费情形”。即深圳只允许建造、翻建、大修及老旧小区更新改造类提取，装修明确不予办理。,,
深圳,广东省,缴存-灵活就业,支持,,深圳市住房公积金管理委员会《深圳市灵活就业人员缴存使用住房公积金管理暂行规定》续期通知（深公积金规〔2024〕2号）,https://zjj.sz.gov.cn/xxgk/zcfgs/zcfg/gjj/content/post_11393681.html,2024-06（有效期续至2027-07-19）
深圳,广东省,缴存-缓缴,支持,适用于缴存住房公积金确有困难的单位（企业），非个人灵活就业人员,深圳市住房公积金管理委员会《深圳市住房公积金缴存管理规定》（深公积金规〔2022〕1号）,https://zjj.sz.gov.cn/xxgk/zcfgs/zcfg/gjj/content/post_9826170.html,2022-05-28（第二十八条）
广州,广东省,贷款,单双职工额度差异,支持,单身职工与两人及以上家庭最高额度不同,https://www.gz.gov.cn/gzzcwjk/m_detail.html?id=169605,政府网站
广州,广东省,贷款,首套二套额度差异,不支持,2026年4月30日起基础最高额度首套二套统一（一人100万/两人200万），仅首付比例与利率有差异,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10796725.html,政府网站
广州,广东省,贷款,绿色建筑上浮,支持,"购买""好房子""及绿色建筑贷款额度上浮",https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10796725.html,政府网站
广州,广东省,贷款,二孩家庭上浮,支持,二孩家庭贷款额度上浮40%,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10796725.html,政府网站
广州,广东省,贷款,三孩家庭上浮,支持,三孩家庭贷款额度上浮50%,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10796725.html,政府网站
广州,广东省,贷款,人才青年上浮,有条件支持,新市民及青年人可通过商转公等优化贷款，但无专门贷款额度上浮，需满足缴存及购房条件,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10422980.html,政府网站
广州,广东省,贷款,家庭共享额度代际互助,有条件支持,仅允许作为产权人的父母子女共同申请，不支持非产权人代际互助,https://gjj.gz.gov.cn/siteapp/webpage/page/web/wszx/wszx_content.jsp?MAIL_NUMBER=Z2024120100005,政府网站
广州,广东省,贷款,商转公,支持,2025年8月21日起实施商转公暂行办法,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/post_10422980.html,政府网站
广州,广东省,贷款,最长贷龄30年,支持,,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzzfgjjglzx/content/mpost_7321548.html,政府网站
广州,广东省,提取,购房一次性提取,支持,非按揭购房在实际支付购房款两年内提出申请，每3个月可提取一次，提取总额不超过实际支付的购房款，可多次提取至累计达实际房款。,,
广州,广东省,提取,租房提取限额,有条件支持,无租赁合同或合同未备案的按定额提取；租赁合同已备案的按实际已付租金据实提取；租住公租房按实际已付租金提取。 无租赁合同或合同未备案的，2024年11月26日起每人每月2000元；已备案的按实际月租金据实提取，但月租金超本市上年度职工月平均工资2倍的40%部分不计入。,,
广州,广东省,提取,多孩租房上浮,支持,生育二孩及以上（至少一个子女未成年）家庭，无租赁合同或未备案租房提取月额度上浮40%，即每人每月2800元，家庭提取额度上限提高至5600元/月。,,
广州,广东省,提取,加装电梯提取,支持,既有住宅增设电梯，工程竣工验收后可提取一次，每户提取总额不超过该户因增设电梯产生的费用；2025年9月28日起老旧电梯更新改造亦纳入，总额不超家庭分摊费用。,,
广州,广东省,提取,车位购置提取,不支持,广州提取情形不含购买车位、车库；公积金中心答复明确无购买车位提取政策，购买车位亦不能申请公积金贷款，商铺、商用公寓等同不适用。,,
广州,广东省,提取,大病救助提取,不支持,现行《广州市住房公积金提取管理办法》11项提取情形均为住房类，不含本人或家庭成员患重大疾病；公积金中心答复明确暂无大病提取条件，涉特殊情况需到管理部反映。,,
广州,广东省,提取,既提又贷,支持,提取首付款不影响以该套住房申请公积金贷款的可贷额度计算，已提取金额仍计入可贷额度；按月还贷期间还可提取一次账户余额，金额不超实际支付的首期房款。,,
广州,广东省,提取,首付直付,支持,2024年8月起新建商品住房可将余额划转至预售资金监管账户付首付；2025年9月28日扩至现售商品房、存量房、保障房、共有产权房，不限首套二套。,,
广州,广东省,提取,代际互助,有条件支持,仅限父母或子女登记为该住房共同权利人（共同购房人），或加装电梯、老旧电梯更新改造等特定场景；仅凭亲属关系不能提取他人名下房产的公积金。 购房提取仅限房屋产权人及其配偶；但可为本人、配偶或双方父母拥有所有权的住宅加装/更新电梯提取；父母子女若为共同购房人，可各自按份额提取并共同申请公积金贷款。,,
广州,广东省,提取,按月冲还商贷,有条件支持,仅组合贷款中的商业贷款部分可办理按月还贷提取；纯商业贷款仅支持每3个月提取一次，不能按月冲还。 广州规定组合贷款商贷部分可按月还贷提取（每月自动转入提取人银行账户用于还商贷）；纯商贷（非公积金贷款）须以非按月还贷方式每3个月提取一次。,,
广州,广东省,提取,物业费提取,未确认,《广州市住房公积金提取管理办法》(穗公积金中心规字〔2023〕5号)第三条列举的提取情形不含物业费；2025年9月28日《关于优化住房公积金提取政策的通知》仅新增购房首付款与老旧电梯更新改造两项提取。截至查证日广州未出台物业费提取细则，仅国家条例层面授权(9月20日施行)，本地暂不能办。,,
广州,广东省,提取,住房装修提取,不支持,不允许。广州住房公积金管理中心网上咨询答复明确“房屋装修不能申请公积金贷款及提取”；广州12345政务服务便民热线知识库明确“装修、装饰、中修、小修等行为都不可以提取”，大修指经鉴定为危房或严重损坏房、需牵动或拆换住房部分主体构件。现行仅允许建造、翻建、大修及危旧住宅原拆原建提取，只可提取一次，额度不超过实际费用。,,
广州,广东省,缴存-灵活就业,支持,,广州市人民政府办公厅《广州市灵活就业人员参加住房公积金制度试点管理办法》（穗府办规〔2021〕17号）,https://www.gz.gov.cn/gfxwj/szfgfxwj/gzsrmzfbgt/content/post_7935862.html,2021-11-26（有效期5年，至2026-11）
广州,广东省,缴存-缓缴,支持,适用于生产经营困难的企业,广州住房公积金管理中心《广州市住房公积金缴存管理办法》（延长有效期通知）,https://www.gz.gov.cn/gzzcwjk/detail.html?id=165679,（第二十一条）
天津,天津市,贷款,单双职工额度差异,支持,单缴存与双缴存（夫妻均缴存）最高额度不同,https://www.163.com/dy/article/KKEDS9O50514R9OJ.html,其他新闻
天津,天津市,贷款,首套二套额度差异,支持,首套最高120万，二套最高100万,https://www.163.com/dy/article/KKEDS9O50514R9OJ.html,其他新闻
天津,天津市,贷款,绿色建筑上浮,未检索到,未检索到公开来源,,空
天津,天津市,贷款,二孩家庭上浮,支持,多子女家庭上浮20%，最高144万,https://www.163.com/dy/article/KKEDS9O50514R9OJ.html,其他新闻
天津,天津市,贷款,三孩家庭上浮,支持,多子女家庭（含三孩）上浮20%,https://www.163.com/dy/article/KKEDS9O50514R9OJ.html,其他新闻
天津,天津市,贷款,人才青年上浮,未检索到,未检索到公开来源,,空
天津,天津市,贷款,家庭共享额度代际互助,支持,,https://www.zfgjj.cn/tjgjjcms/mainSitePc/content/pc_xwdt/xwdt_zxxw/xwdt_zxxw/379355.html,政府网站
天津,天津市,贷款,商转公,不支持,,https://new.qq.com/rain/a/20260104A071TZ00,其他新闻
天津,天津市,贷款,最长贷龄30年,支持,,https://new.qq.com/rain/a/20260104A071TZ00,其他新闻
天津,天津市,提取,购房一次性提取,支持,未使用贷款购房的，职工及配偶可提取购房合同签订当月之前（含当月）的账户余额，合计不超过购房款；已有住房且无贷款购存量房须持证满半年。,,
天津,天津市,提取,租房提取限额,支持,租商品住房夫妻合计每月不超3000元；保障性租赁住房按实际租金；公租房按管理部门数据；新市民、青年人不超上月月缴存额；每次可提不超12个月。,,
天津,天津市,提取,多孩租房上浮,支持,养育两个及以上子女且至少一个未成年的，租商品住房夫妻合计每月可按实际租金提取，不受3000元/月上限限制，需提供户口簿和房屋租赁合同。,,
天津,天津市,提取,加装电梯提取,支持,既有住宅加装电梯，房屋产权人及配偶、子女及其配偶可提取；竣工验收后两年内一次性申请，总额不超过该套住房加装电梯直接出资金额。,,
天津,天津市,提取,车位购置提取,不支持,《天津市住房公积金提取管理办法》购建修房提取仅含购买、建造、翻建、大修自住住房及偿还贷款本息三类，本市未将车位、车库纳入提取情形。,,
天津,天津市,提取,大病救助提取,有条件支持,职工本人及配偶均无本市未结清的个人住房公积金贷款 本人或配偶、未成年子女患重大疾病住院的，出院之日起一年内可提取本人及配偶账户余额，合计不超过住院费用个人负担部分，病种按保险行业协会范围。,,
天津,天津市,提取,既提又贷,支持,提取公积金支付首付款后，因同一套住房申请公积金（组合）贷款的，已提取金额与账户余额合并计算贷款额度，可贷额度不受提取影响。,,
天津,天津市,提取,首付直付,支持,2025年7月25日起存量房、2026年6月29日起预售商品房，可申请提取本人及配偶公积金直接支付首付款，资金划入监管账户，额度不超未付首付款。,,
天津,天津市,提取,代际互助,支持,购买首套住房和保障性住房，职工及配偶双方父母可一并提取；直付首付新政中，纯首套房（名下无房无贷款记录）还可提取双方父母公积金。,,
天津,天津市,提取,按月冲还商贷,有条件支持,仅组合贷款中的商贷部分可签订《委提协议书》按月自动划转；纯商业贷款不能自动划转，只能柜台按已还贷款本息提取。 天津的委托提取（按月自动划转）仅适用于住房公积金（组合）贷款，组合贷的商贷部分可随公积金部分一并按月划转；纯商贷购房不能自动划转公积金余额还贷，仅可办理“按月偿还贷款提取”（按已还本息手动申请提取）。,,
天津,天津市,提取,物业费提取,未确认,《天津市住房公积金提取管理办法》(津公积金委〔2023〕8号)第二章住房消费提取仅列租赁住房提取与购建修房提取(购买自有住房、建造/翻建/大修自有住房、偿还购房贷款本息)，不含物业费。截至查证日天津未出台物业费提取细则，仅国家条例层面授权(9月20日施行)，本地暂不能办。,,
天津,天津市,提取,住房装修提取,不支持,不允许。天津市住房公积金管理中心热点问题答复明确“装修不能申请提取住房公积金”。现行办法购建修房提取只含在农村集体土地上建造、翻建、大修自有住房，大修须提供房屋危险性鉴定为C级或D级的房屋安全鉴定报告(农村房屋由乡镇主管部门出具证明)，提取金额不超过建修房费用。装修、装饰、中修、小修均不可提取。,,
天津,天津市,缴存-灵活就业,支持,,天津北方网《天津公积金新政出台！灵活就业人员可以缴存住房公积金》（《天津市灵活就业人员参加住房公积金制度管理办法》）,http://news.big5.enorth.com.cn/system/2024/12/20/057929724.shtml,2024-12（2024-12-25施行）
天津,天津市,缴存-缓缴,支持,适用于生产经营困难的单位,天津市人民政府办公厅《关于印发〈天津市住房公积金归集管理办法〉的通知》,https://gk.tj.gov.cn/zcwjk/zfgjj/zcwj/202405/t20240528_6635949.html,2024-05（第十二条）
重庆,重庆市,贷款,单双职工额度差异,支持,,https://www.cqgjj.cn/ywzn/gjjdkzn/2653.htm,政府网站
重庆,重庆市,贷款,首套二套额度差异,不支持,,https://www.cqgjj.cn/ywzn/gjjdkzn/2653.htm,政府网站
重庆,重庆市,贷款,绿色建筑上浮,支持,,https://www.topnews.cn/news/145BD1E444B14E76,其他新闻
重庆,重庆市,贷款,二孩家庭上浮,支持,,https://www.cqgjj.cn/zwgk/zcjd/3123.htm,政府网站
重庆,重庆市,贷款,三孩家庭上浮,支持,,https://www.cqgjj.cn/zwgk/zcjd/3123.htm,政府网站
重庆,重庆市,贷款,人才青年上浮,支持,,https://m.loupan.com/cq/news/202604/5567181,其他新闻
重庆,重庆市,贷款,家庭共享额度代际互助,支持,,https://www.cqgjj.cn/zwgk/gsgg/3396.htm,政府网站
重庆,重庆市,贷款,商转公,支持,,https://www.cqgjj.cn/zwgk/gsgg/3147.htm,政府网站
